id,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,loss
6794,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,A,D,C,A,B,C,B,B,B,A,A,B,A,A,C,B,C,E,E,A,D,B,A,A,C,C,E,K,G,A,BI,EB,A,AT,AE,A,L,CI,0.289618,0.358319,0.65431,0.354893,0.422268,0.182014,0.308785,0.29758,0.32128,0.2123,0.209813,0.207184,0.26115,0.764981,2503.66
6801,B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,D,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,I,A,A,A,E,E,H,F,B,BI,CS,C,AN,AE,J,K,DJ,0.503312,0.488789,0.57136,0.373816,0.422268,0.337155,0.340247,0.26847,0.41471,0.44467,0.341813,0.335036,0.318646,0.283278,1038.31
6811,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,C,E,E,A,D,I,A,A,B,D,E,J,F,A,BI,CS,A,J,AE,C,J,CK,0.282512,0.488789,0.711159,0.412789,0.422268,0.213293,0.299179,0.29758,0.34365,0.30529,0.24541,0.241676,0.222124,0.384334,3529.41
6817,A,B,A,A,B,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,B,B,B,B,C,B,B,D,A,A,A,A,A,D,D,D,E,C,A,P,B,I,A,C,F,G,H,F,B,BI,EB,A,S,X,A,J,GC,0.490265,0.620805,0.634224,0.83324,0.422268,0.351223,0.33572,0.68308,0.40455,0.47779,0.535044,0.523266,0.318646,0.673934,2853.78
6820,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,A,A,C,B,B,B,A,A,A,A,A,C,D,D,E,E,A,P,I,C,A,A,D,E,J,H,B,BI,EL,A,N,AF,A,L,CR,0.31405,0.681761,0.527991,0.208655,0.508483,0.242006,0.2791,0.25461,0.34365,0.35434,0.223038,0.236124,0.351299,0.615698,691.97
6825,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,B,B,B,C,B,B,B,A,A,A,A,A,C,D,D,E,C,A,P,I,A,A,A,G,H,H,F,B,BI,CS,E,AH,BM,C,K,HK,0.475784,0.785784,0.692825,0.564742,0.78907,0.3735,0.381883,0.36083,0.44352,0.45017,0.698978,0.692256,0.339244,0.234694,2915.38
6828,A,B,A,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,D,B,A,C,B,B,C,A,A,A,C,A,D,D,D,E,C,A,P,O,C,A,B,E,E,H,F,B,BI,BT,C,N,X,A,J,DP,0.496063,0.785784,0.54977,0.948643,0.422268,0.379574,0.379324,0.68308,0.40455,0.47779,0.359572,0.352251,0.307181,0.603652,1041.05
6829,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,B,D,D,B,D,C,B,B,B,A,A,A,A,A,D,D,D,E,A,A,P,I,A,A,C,H,F,G,E,B,BI,CS,A,AH,I,A,J,HX,0.629339,0.15999,0.230975,0.62377,0.302678,0.460158,0.440595,0.29758,0.5042,0.54983,0.453334,0.462286,0.312885,0.240367,1960.83
6831,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,D,C,B,D,B,D,A,A,A,A,D,A,C,E,A,C,T,H,A,B,C,J,E,G,J,G,BO,EL,A,AW,Y,E,N,KD,0.589332,0.061,0.080909,0.761209,0.388783,0.673638,0.289543,0.33906,0.59949,0.80569,0.449471,0.439609,0.763747,0.838426,3210.7
6834,B,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,B,C,B,B,B,A,A,A,A,A,C,D,D,E,A,A,P,N,D,A,A,H,H,F,F,D,BI,BT,C,E,AF,A,J,HX,0.572391,0.785784,0.762059,0.259793,0.517162,0.513286,0.677408,0.33372,0.57506,0.59869,0.771508,0.800726,0.345247,0.812423,1462.81
6837,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,B,A,B,B,B,A,A,A,G,H,D,D,D,E,E,A,P,K,A,A,A,D,E,K,H,B,AB,EF,A,P,X,J,M,CR,0.284869,0.681761,0.54977,0.886774,0.831634,0.219274,0.290763,0.64027,0.31763,0.25604,0.223038,0.241676,0.360468,0.566599,1543.87
6851,A,B,A,A,A,A,A,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,E,A,P,L,M,A,A,D,E,J,H,B,BI,EL,A,J,AF,A,L,CR,0.31405,0.681761,0.527991,0.208655,0.508483,0.242006,0.2791,0.25461,0.34365,0.35434,0.223038,0.236124,0.351299,0.383445,4038.1
6856,A,B,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,L,G,A,A,E,E,G,F,B,BI,EL,A,U,K,A,K,DJ,0.513457,0.620805,0.57136,0.594598,0.405415,0.416181,0.349614,0.62918,0.5063,0.37493,0.338312,0.338446,0.315758,0.297896,2220.39
6861,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,D,A,A,A,A,D,D,C,E,A,C,T,J,A,A,A,J,G,G,J,G,BI,CS,A,E,L,J,O,LF,0.701436,0.737068,0.397983,0.713852,0.281143,0.746021,0.392186,0.95931,0.64296,0.8351,0.742852,0.790803,0.810511,0.814578,2339.74
6862,A,B,B,A,B,A,A,A,B,B,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,D,B,B,C,B,D,D,A,A,B,A,A,D,D,C,E,A,D,T,B,M,A,B,K,F,F,J,K,BI,BT,A,J,AX,A,P,LW,0.716981,0.358319,0.230975,0.463029,0.281143,0.823591,0.680635,0.68823,0.71934,0.79863,0.81013,0.798279,0.839341,0.383537,7758.55
6868,A,B,A,B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,D,B,B,C,B,C,B,A,B,A,B,H,D,D,E,E,G,E,R,F,D,A,A,G,F,F,I,F,BI,EB,M,AF,AE,A,N,HK,0.642763,0.422197,0.61366,0.327354,0.725503,0.688705,0.480915,0.33906,0.62542,0.73106,0.661688,0.648446,0.687115,0.236756,10446.29
6871,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,A,C,B,B,B,A,A,A,A,A,D,B,D,E,C,A,P,A,D,A,A,D,D,I,F,B,K,N,A,E,AE,A,J,DC,0.424162,0.061,0.317666,0.259793,0.302678,0.285072,0.354681,0.26847,0.39447,0.36458,0.217678,0.214808,0.26115,0.809264,866.92
6872,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,C,B,B,A,B,D,B,A,A,A,G,H,D,D,C,E,C,D,T,F,A,A,A,E,E,H,J,K,BI,CL,A,AK,L,C,N,DJ,0.455585,0.827585,0.673861,0.796346,0.388783,0.521802,0.450226,0.93736,0.5105,0.49444,0.385085,0.377003,0.611431,0.470285,1615.28
6875,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,D,B,B,D,D,B,D,C,B,D,B,A,A,A,A,A,D,B,C,B,G,C,T,I,A,A,B,O,D,E,G,G,BI,EL,A,AS,Y,A,P,KB,0.949323,0.127059,0.041833,0.54456,0.491114,0.892219,0.551005,0.45883,0.97621,0.8351,0.511698,0.576121,0.867611,0.710921,1688.68
6882,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,D,B,B,D,B,B,D,C,B,B,B,A,A,A,A,A,D,D,A,E,C,A,F,A,A,A,A,D,F,G,G,D,BI,CL,A,AW,BF,L,K,EE,0.37959,0.488789,0.944251,0.195483,0.473767,0.434866,0.770778,0.2638,0.36285,0.32446,0.4922,0.481306,0.295948,0.837254,2099.55
6886,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,C,E,A,A,D,J,A,A,B,H,J,E,D,H,BI,X,A,AS,AI,C,G,F,0.449838,0.199504,0.90167,0.222469,0.281143,0.524149,0.995395,0.3128,0.2997,0.46672,0.921644,0.91435,0.157095,0.715491,2087.81
6887,A,B,A,A,B,A,B,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,D,B,B,B,B,C,B,D,C,D,B,A,B,H,D,B,C,E,A,C,T,F,G,A,D,I,E,F,H,G,BU,DW,A,AS,S,A,O,LB,0.894333,0.358319,0.187583,0.789639,0.594196,0.799139,0.493367,0.68308,0.91644,0.8351,0.588753,0.594646,0.828258,0.711473,6958.61
6888,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,B,C,E,A,C,T,O,A,A,A,I,E,G,J,G,BU,DW,C,AS,S,A,O,LB,0.7263,0.358319,0.187583,0.789639,0.310061,0.713343,0.469223,0.3026,0.67135,0.8351,0.588753,0.594646,0.822493,0.7134,1470.52
6889,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,D,D,A,B,C,B,B,B,A,A,A,A,A,C,D,C,E,E,A,N,B,A,A,B,D,D,K,J,B,AB,CO,A,AK,AX,C,N,CK,0.220528,0.555782,0.506105,0.422727,0.525831,0.239855,0.2311,0.70342,0.30859,0.2123,0.197173,0.194925,0.41743,0.462489,3026.91
6891,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,C,D,C,E,A,D,T,B,A,A,A,K,F,F,J,K,BI,BT,E,E,AX,A,P,LW,0.716981,0.488789,0.230975,0.463029,0.281143,0.860658,0.70694,0.68823,0.71934,0.79863,0.81013,0.798279,0.839341,0.82628,1310.94
6897,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,A,B,B,B,A,A,A,G,H,D,D,D,E,C,A,P,K,A,A,A,G,H,G,F,D,BI,CL,A,E,AN,E,K,HK,0.503312,0.555782,0.711159,0.229617,0.281143,0.463958,0.678809,0.37194,0.44352,0.45017,0.718299,0.705111,0.321548,0.820446,729.14
6902,B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,A,A,C,B,D,B,A,A,A,A,A,C,B,C,E,A,D,T,A,A,A,A,I,E,F,K,K,BU,EB,C,AN,S,C,Q,LB,0.640095,0.358319,0.187583,0.789639,0.718531,0.818056,0.57509,0.66201,0.64681,0.68039,0.588753,0.594646,0.820538,0.276909,506.26
6903,A,B,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,D,B,B,B,C,B,B,C,B,B,D,A,A,A,B,H,D,D,D,E,C,A,P,F,G,B,A,E,F,H,F,B,BI,EB,A,AN,AX,A,K,DP,0.484469,0.620805,0.54977,0.452887,0.499798,0.332963,0.377235,0.58354,0.44352,0.39599,0.341813,0.352251,0.339244,0.285475,1172.21
6911,A,B,A,A,B,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,D,B,B,D,D,A,A,C,B,B,B,A,A,A,B,A,C,B,D,E,C,A,P,D,F,A,B,E,E,H,F,B,BI,EG,A,AN,BC,A,J,DJ,0.434106,0.15999,0.397983,0.844287,0.491114,0.334009,0.29701,0.3128,0.39648,0.38016,0.275431,0.270746,0.26115,0.263035,632.85
6916,B,B,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,D,A,A,B,H,C,C,C,E,E,C,T,F,C,C,C,H,F,H,G,G,BI,EE,A,L,BM,A,O,IE,0.853789,0.620805,0.317666,0.309621,0.863,0.56062,0.437192,0.73247,0.91898,0.60932,0.592525,0.579845,0.723122,0.831141,1070.2
6920,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,I,A,A,C,E,E,G,J,E,BI,EG,A,E,H,A,N,GI,0.34347,0.358319,0.634224,0.215482,0.325117,0.586787,0.636743,0.61795,0.46017,0.52221,0.3925,0.384201,0.601887,0.817992,1042.94
6921,A,B,A,A,B,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,B,A,D,B,B,D,D,B,B,C,B,A,B,A,A,A,A,A,D,D,A,E,E,A,E,O,J,A,B,D,F,F,H,H,BI,BC,A,AH,F,A,H,CO,0.136753,0.199504,0.944251,0.354893,0.281143,0.432555,0.785763,0.47669,0.20131,0.52775,0.550529,0.538473,0.210818,0.242702,9837.03
6924,A,B,A,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,B,B,B,C,B,B,B,A,A,A,A,A,D,B,D,E,E,A,P,L,J,A,A,D,E,I,G,B,AB,CS,A,AN,K,A,K,DC,0.351358,0.488789,0.462347,0.83324,0.811271,0.252511,0.26101,0.59512,0.32496,0.26029,0.24541,0.255941,0.276878,0.261147,1991.66
6927,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,D,A,C,B,B,B,A,A,A,B,H,C,D,E,E,E,A,S,F,A,A,B,E,E,J,K,I,AB,EB,A,AF,N,F,O,DJ,0.217552,0.422197,0.397983,0.52423,0.388783,0.314176,0.274064,0.34987,0.31945,0.22755,0.275431,0.270746,0.503333,0.283534,1746.74
6933,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,B,D,E,A,A,P,A,A,A,B,H,F,F,E,D,BI,BT,A,E,AN,A,J,IY,0.583707,0.036553,0.397983,0.176921,0.281143,0.545796,0.911415,0.23688,0.47481,0.46672,0.644013,0.630853,0.276878,0.823422,1592.36
6934,A,A,A,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,D,B,B,B,D,B,A,C,B,B,B,A,B,A,A,A,D,D,D,E,C,A,P,G,A,C,D,E,E,H,F,B,BI,CS,A,S,BM,A,K,DP,0.475784,0.785784,0.592681,0.614134,0.78323,0.3735,0.381883,0.36083,0.44352,0.45017,0.338312,0.366307,0.339244,0.678917,5801.94
6938,A,B,A,A,B,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,A,D,D,A,A,C,B,B,B,A,A,A,A,A,C,D,E,E,C,A,S,L,I,A,B,F,F,H,G,I,BI,E,A,N,BJ,A,M,GS,0.449838,0.199504,0.57136,0.275813,0.643315,0.396327,0.379208,0.41762,0.34365,0.29595,0.5,0.488933,0.391741,0.60178,2812.25
6945,A,B,A,B,B,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,B,B,D,B,B,C,D,B,C,A,A,A,A,A,D,D,D,E,C,A,P,L,J,A,B,G,H,F,F,D,BI,CL,C,AF,A,A,J,HK,0.563854,0.681761,0.745801,0.229617,0.281143,0.501529,0.717259,0.33906,0.44352,0.57716,0.742852,0.729856,0.318646,0.213292,5796.73
6949,A,B,A,A,B,A,A,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,B,B,B,C,B,D,B,A,A,A,A,A,D,C,C,E,G,D,T,L,L,A,C,K,E,E,H,K,BI,AC,A,AS,L,A,O,LM,0.855947,0.358319,0.26357,0.705434,0.281143,0.91076,0.73396,0.89839,0.81945,0.83202,0.757468,0.772574,0.806381,0.72187,7056.97
6955,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,D,B,D,B,B,C,B,D,B,D,A,A,B,H,D,C,C,E,E,C,T,F,A,A,C,E,D,I,I,G,BI,BC,A,U,AX,A,P,DP,0.70022,0.555782,0.356819,0.452887,0.281143,0.491827,0.355359,0.60087,0.7628,0.51111,0.281701,0.276817,0.712318,0.297137,3263.88
6956,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,A,A,D,B,B,D,D,B,B,C,B,D,B,D,A,A,B,H,D,C,C,E,E,C,T,F,A,B,A,G,F,G,H,G,BI,EG,C,M,L,A,Q,FE,0.719328,0.555782,0.440642,0.859731,0.281143,0.574187,0.469715,0.94275,0.76431,0.29134,0.614915,0.601984,0.660756,0.762388,7643.24
6958,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,C,E,A,A,D,J,C,A,A,K,J,F,E,A,BI,CO,A,E,Q,A,I,MD,0.597726,0.827585,0.462347,0.789639,0.372405,0.538498,0.488557,0.25461,0.58325,0.66572,0.921644,0.920142,0.315758,0.81576,569.89
